intersection_name,direction,SA_num,green_start_time,green_end_time,cycle
27교차로,동서,26,2430,2557,160
27교차로,동서,26,2590,2717,160
27교차로,동서,26,2750,2877,160
27교차로,동서,26,2910,3037,160
27교차로,동서,26,3070,3197,160
27교차로,동서,26,3230,3357,160
27교차로,동서,26,3390,3517,160
27교차로,동서,26,3550,3677,160
28교차로,동서,26,44,122,160
28교차로,동서,26,204,282,160
28교차로,동서,26,364,442,160
28교차로,동서,26,524,602,160
28교차로,동서,26,684,762,160
28교차로,동서,26,844,922,160
28교차로,동서,26,1004,1082,160
28교차로,동서,26,1164,1242,160
28교차로,동서,26,1324,1402,160
28교차로,동서,26,1484,1562,160
28교차로,동서,26,1644,1722,160
28교차로,동서,26,1804,1882,160
28교차로,동서,26,1964,2042,160
28교차로,동서,26,2124,2202,160
28교차로,동서,26,2284,2362,160
28교차로,동서,26,2444,2522,160
28교차로,동서,26,2604,2682,160
28교차로,동서,26,2764,2842,160
28교차로,동서,26,2924,3002,160
28교차로,동서,26,3084,3162,160
28교차로,동서,26,3244,3322,160
28교차로,동서,26,3404,3482,160
28교차로,동서,26,3564,3642,160
29교차로,동서,26,-104,23,160
29교차로,동서,26,56,183,160
29교차로,동서,26,216,343,160
29교차로,동서,26,376,503,160
29교차로,동서,26,536,663,160
29교차로,동서,26,696,823,160
29교차로,동서,26,856,983,160
29교차로,동서,26,1016,1143,160
29교차로,동서,26,1176,1303,160
29교차로,동서,26,1336,1463,160
29교차로,동서,26,1496,1623,160
29교차로,동서,26,1656,1783,160
29교차로,동서,26,1816,1943,160
29교차로,동서,26,1976,2103,160
29교차로,동서,26,2136,2263,160
29교차로,동서,26,2296,2423,160
29교차로,동서,26,2456,2583,160
29교차로,동서,26,2616,2743,160
29교차로,동서,26,2776,2903,160
29교차로,동서,26,2936,3063,160
29교차로,동서,26,3096,3223,160
29교차로,동서,26,3256,3383,160
29교차로,동서,26,3416,3543,160
29교차로,동서,26,3576,3703,160
30교차로,동서,26,69,144,160
30교차로,동서,26,229,304,160
30교차로,동서,26,389,464,160
30교차로,동서,26,549,624,160
30교차로,동서,26,709,784,160
30교차로,동서,26,869,944,160
30교차로,동서,26,1029,1104,160
30교차로,동서,26,1189,1264,160
30교차로,동서,26,1349,1424,160
30교차로,동서,26,1509,1584,160
30교차로,동서,26,1669,1744,160
30교차로,동서,26,1829,1904,160
30교차로,동서,26,1989,2064,160
30교차로,동서,26,2149,2224,160
30교차로,동서,26,2309,2384,160
30교차로,동서,26,2469,2544,160
30교차로,동서,26,2629,2704,160
30교차로,동서,26,2789,2864,160
30교차로,동서,26,2949,3024,160
30교차로,동서,26,3109,3184,160
30교차로,동서,26,3269,3344,160
30교차로,동서,26,3429,3504,160
30교차로,동서,26,3589,3664,160
31교차로,동서,26,-113,14,160
31교차로,동서,26,47,174,160
31교차로,동서,26,207,334,160
31교차로,동서,26,367,494,160
31교차로,동서,26,527,654,160
31교차로,동서,26,687,814,160
31교차로,동서,26,847,974,160
31교차로,동서,26,1007,1134,160
31교차로,동서,26,1167,1294,160
31교차로,동서,26,1327,1454,160
31교차로,동서,26,1487,1614,160
31교차로,동서,26,1647,1774,160
31교차로,동서,26,1807,1934,160
31교차로,동서,26,1967,2094,160
31교차로,동서,26,2127,2254,160
31교차로,동서,26,2287,2414,160
31교차로,동서,26,2447,2574,160
31교차로,동서,26,2607,2734,160
31교차로,동서,26,2767,2894,160
31교차로,동서,26,2927,3054,160
31교차로,동서,26,3087,3214,160
31교차로,동서,26,3247,3374,160
31교차로,동서,26,3407,3534,160
31교차로,동서,26,3567,3694,160
32교차로,동서,26,11,115,160
32교차로,동서,26,171,275,160
32교차로,동서,26,331,435,160
32교차로,동서,26,491,595,160
32교차로,동서,26,651,755,160
32교차로,동서,26,811,915,160
